student_id,avg_video_completion,pause_frequency,quiz_accuracy,study_time_per_day,revisit_rate,consistency,learning_velocity
student_008,0.67,1.25,62.5,239.93,2.5,0.83,5
student_001,0.84,3.33,43.71,236.93,3,0.83,9.12
student_009,0.93,2.67,45.63,221.37,2.33,0.73,8.13
student_011,1,1.75,55.5,194.8,0.75,0.83,8.62
student_018,1,1.4,36,234.37,1.6,0.9,6.14
student_014,0.94,0.8,43.38,244.33,0.6,0.77,9.33
student_019,1,2.67,44.17,242.3,2.67,0.8,5.94
student_020,0.45,1.8,41.75,215.97,1.6,0.77,6.11
student_016,0.58,0.75,53.67,368,2.75,0.87,4.57
student_002,0.94,5.5,60.13,314.83,2.5,0.77,6.48
student_007,1,0.75,52,270.33,1,0.87,7.55
student_015,0.55,2,43.67,281.7,2.25,0.8,7.24
student_012,1,1.2,48.45,325.43,0.8,0.77,6.64
student_004,1,1.75,41.4,308.7,2.5,0.7,5.44
student_013,0.34,1.67,33.8,337,2.67,0.87,5.7
student_005,1,2.5,57.4,212.83,0.5,0.87,6.77
student_006,0.61,1.2,65.43,279.77,1.8,0.9,6.86
student_010,1,2,51,301.13,1.25,0.83,6.77
student_017,1,2.33,74,225.63,2.33,0.73,6.91
student_003,0.78,1.4,72.17,252.3,2.4,0.8,5.71